dataset,encoder,decoder,model,run,fitness
iris,ss,v,IZ-F,3,0.85
iris,ss,v,IZ-F,4,0.91
iris,ss,v,IZ-F,5,0.91
iris,ss,v,IZ-F,6,0.89
iris,ss,v,IZ-F,7,0.88
iris,ss,v,IZ-F,8,0.9
iris,ss,v,IZ-F,9,0.87
iris,ss,v,IZ-F,10,0.89
iris,ss,v,IZ-G,0,0.93
iris,ss,v,IZ-G,1,0.86
iris,ss,v,IZ-G,2,0.93
iris,ss,v,IZ-G,3,0.92
iris,ss,v,IZ-G,4,0.9
iris,ss,v,IZ-G,5,0.86
iris,ss,v,IZ-G,6,0.92
iris,ss,v,IZ-G,7,0.92
iris,ss,v,IZ-G,8,0.93
iris,ss,v,IZ-G,9,0.91
iris,ss,v,IZ-G,10,0.88
iris,ss,v,IZ-H,0,0.91
iris,ss,v,IZ-H,1,0.91
iris,ss,v,IZ-H,2,0.91
iris,ss,v,IZ-H,3,0.87
iris,ss,v,IZ-H,4,0.94
iris,ss,v,IZ-H,5,0.89
iris,ss,v,IZ-H,6,0.86
iris,ss,v,IZ-H,7,0.95
iris,ss,v,IZ-H,8,0.91
iris,ss,v,IZ-H,9,0.92
iris,ss,v,IZ-H,10,0.92
iris,t,fs,IZ-A,0,0.92
iris,t,fs,IZ-A,1,0.94
iris,t,fs,IZ-A,2,0.94
iris,t,fs,IZ-A,3,0.95
iris,t,fs,IZ-A,4,0.94
iris,t,fs,IZ-A,5,0.93
iris,t,fs,IZ-A,6,0.95
iris,t,fs,IZ-A,7,0.93
iris,t,fs,IZ-A,8,0.94
iris,t,fs,IZ-A,9,0.92
iris,t,fs,IZ-A,10,0.94
iris,t,fs,IZ-B,0,0.94
iris,t,fs,IZ-B,1,0.95
iris,t,fs,IZ-B,2,0.94
iris,t,fs,IZ-B,3,0.94
iris,t,fs,IZ-B,4,0.95
iris,t,fs,IZ-B,5,0.93
iris,t,fs,IZ-B,6,0.93
iris,t,fs,IZ-B,7,0.94
